feature,lang,diff,stderr,ci95_l,ci95_u,method
-|Δf0|,Hindi,0.699476823853355,0.00775041536990671,0.684281905840895,0.714671741865815,common language effect size
Spectral centroid,Hindi,0.56921300477744,0.00929914590287207,0.550979956407965,0.587446053146916,common language effect size
f0,Bulgarian,0.910005107242673,0.0043915412645629,0.901395292755717,0.918614921729629,common language effect size
-|Δf0|,Bulgarian,0.640173237922753,0.00782400670927474,0.624834130741562,0.655512345103945,common language effect size
Spectral centroid,Bulgarian,0.463806827221072,0.00928442430759316,0.445603534508665,0.482010119933479,common language effect size
f0,Greek,0.934028357489366,0.00365241817692285,0.926867992675023,0.941188722303709,common language effect size
-|Δf0|,Greek,0.639654205820998,0.0076495408077956,0.6246577053793,0.654650706262695,common language effect size
Spectral centroid,Greek,0.392911534020425,0.00895171745039182,0.375361159426554,0.410461908614296,common language effect size
f0,Mandarin,0.914668613698656,0.00350071063408112,0.907805816276971,0.921531411120341,common language effect size
-|Δf0|,Mandarin,0.783278610173233,0.00657300033705088,0.770391288188379,0.796165932158087,common language effect size
Spectral centroid,Mandarin,0.495584086243427,0.00930845542066322,0.477333408594171,0.513834763892683,common language effect size
f0,German,0.992657481928559,0.000773463927615128,0.991141093571463,0.994173870285656,common language effect size
-|Δf0|,German,0.657710533394455,0.00909958113331612,0.639866973375435,0.675554093413474,common language effect size
Spectral centroid,German,0.310879679760799,0.00860165369743592,0.294015479159628,0.327743880361969,common language effect size
f0,Yoruba,0.58375447157571,0.00751176639027764,0.569028427667019,0.598480515484402,common language effect size
-|Δf0|,Yoruba,0.55699713437919,0.0077494049458773,0.541804862131267,0.572189406627112,common language effect size
Spectral centroid,Yoruba,0.598836977208606,0.00892145082175997,0.58134594834017,0.616328006077042,common language effect size
f0,Japanese,0.965760025637664,0.00260419128054735,0.960652625910955,0.970867425364373,common language effect size
-|Δf0|,Japanese,0.621759384696063,0.0127709982497973,0.596687277852329,0.646831491539796,common language effect size
Spectral centroid,Japanese,0.739123215278396,0.0131364202433766,0.713336517188198,0.764909913368594,common language effect size
f0,Thai,0.938612807523182,0.00310197798591173,0.932530868789948,0.944694746256416,common language effect size
-|Δf0|,Thai,0.733969109402382,0.00736030982241354,0.719538257747691,0.748399961057073,common language effect size
Spectral centroid,Thai,0.410423269452919,0.00919645917092881,0.392392643550343,0.428453895355495,common language effect size
f0,Spanish,0.818127814762026,0.00631041681619157,0.805754787622465,0.830500841901587,common language effect size
-|Δf0|,Spanish,0.789567580047205,0.00701053548733564,0.775822706841716,0.803312453252694,common language effect size
Spectral centroid,Spanish,0.532581918081918,0.0092854812405129,0.514376282794632,0.550787553369204,common language effect size
f0,Balinese,0.999360129554701,0.000129924258138946,0.999105406431928,0.999614852677473,common language effect size
-|Δf0|,Balinese,0.618504110457029,0.00824975116677072,0.602329547437812,0.634678673476246,common language effect size
Spectral centroid,Balinese,0.621560783825978,0.00879381601256481,0.604319828517251,0.638801739134705,common language effect size
f0,Chilean,0.726491769597461,0.0101821369794199,0.706519605342987,0.746463933851936,common language effect size
-|Δf0|,Chilean,0.654257548393636,0.00900415919454121,0.636601451237169,0.671913645550104,common language effect size
Spectral centroid,Chilean,0.507999243513729,0.00964400948606983,0.489088920834652,0.526909566192806,common language effect size
f0,English,0.810390782615673,0.00597609828521493,0.798675008103661,0.822106557127685,common language effect size
-|Δf0|,English,0.635922408484639,0.00792170043534158,0.62039211712114,0.651452699848137,common language effect size
Spectral centroid,English,0.661077434054457,0.00860148821205182,0.644213486753407,0.677941381355507,common language effect size
f0,Wolof,0.999999857447919,2.01599086864552e-07,0.999999462176245,1.00000025271959,common language effect size
-|Δf0|,Wolof,0.602182187262116,0.0102192705092613,0.582138796754906,0.622225577769326,common language effect size
Spectral centroid,Wolof,0.891163363845314,0.00566574886754144,0.880053436437768,0.90227329125286,common language effect size
f0,Hebrew,0.959308010410326,0.00224714169523916,0.95490263741995,0.963713383400702,common language effect size
-|Δf0|,Hebrew,0.733956367272599,0.00696818267842515,0.720295520056742,0.747617214488457,common language effect size
Spectral centroid,Hebrew,0.441156860289215,0.00909266900458821,0.423330082553212,0.458983638025218,common language effect size
f0,Catalan,0.886438017657587,0.00532224952804575,0.87600369095682,0.896872344358353,common language effect size
-|Δf0|,Catalan,0.664978247273337,0.00835420063582365,0.648598656204817,0.681357838341857,common language effect size
Spectral centroid,Catalan,0.290961036965033,0.0080817886879642,0.275115857103756,0.30680621682631,common language effect size
f0,Portuguese,0.59580756397405,0.0080855734427545,0.579955912954344,0.611659214993757,common language effect size
-|Δf0|,Portuguese,0.800800726582061,0.00644890162509963,0.788157484367922,0.8134439687962,common language effect size
Spectral centroid,Portuguese,0.39959041957044,0.00911452919699042,0.381720453316961,0.417460385823918,common language effect size
f0,Amamidialect,0.967646478878289,0.0027269231308111,0.962300049998313,0.972992907758265,common language effect size
-|Δf0|,Amamidialect,0.5964349606175,0.0102773999900345,0.576276356902444,0.616593564332557,common language effect size
Spectral centroid,Amamidialect,0.635868378725522,0.0102421050761843,0.61578353687401,0.655953220577033,common language effect size
f0,Swahili,0.54514378210522,0.0084538701135015,0.52856967450347,0.561717889706969,common language effect size
-|Δf0|,Swahili,0.755730395589265,0.00721642973598382,0.741581670107034,0.769879121071496,common language effect size
Spectral centroid,Swahili,0.410017629865727,0.00912603261836394,0.392125519757977,0.427909739973476,common language effect size
f0,Dutch,0.872093438444758,0.00467332617118389,0.86293178494291,0.881255091946607,common language effect size
-|Δf0|,Dutch,0.662422772483861,0.00753022482964507,0.647660045576962,0.677185499390759,common language effect size
Spectral centroid,Dutch,0.564591751904439,0.00924038483888048,0.546474490406129,0.582709013402749,common language effect size
f0,Spanish,0.854924005006472,0.00555793171783449,0.844027081825392,0.865820928187552,common language effect size
-|Δf0|,Spanish,0.562175774236612,0.00853657344578489,0.545439794625433,0.578911753847791,common language effect size
Spectral centroid,Spanish,0.639604401592414,0.00874166946083839,0.622465684532934,0.656743118651893,common language effect size
f0,Punjabi,0.988915437763249,0.000890647031029376,0.987169388367384,0.990661487159114,common language effect size
-|Δf0|,Punjabi,0.650941955691069,0.00770257983646401,0.635841078579863,0.666042832802275,common language effect size
Spectral centroid,Punjabi,0.497411214432764,0.00928550841966118,0.479205828100406,0.515616600765121,common language effect size
f0,HainanHua,0.944545795482254,0.00318480368548513,0.938300935035221,0.950790655929286,common language effect size
-|Δf0|,HainanHua,0.789516991116545,0.00711629259591391,0.775563910099329,0.803470072133761,common language effect size
Spectral centroid,HainanHua,0.4289466191562,0.0105087505930243,0.408337705792362,0.449555532520039,common language effect size
f0,Williche,0.915787808737179,0.00430916408979293,0.907339179643991,0.924236437830366,common language effect size
-|Δf0|,Williche,0.613904571510672,0.00819748031260932,0.597833479410025,0.629975663611318,common language effect size
Spectral centroid,Williche,0.54773672880566,0.0090849721441955,0.52992501387389,0.56554844373743,common language effect size
f0,Euskara,0.721396046468754,0.0084659809407411,0.704797176095789,0.737994916841719,common language effect size
-|Δf0|,Euskara,0.710478380754155,0.00892969977642528,0.692968802039687,0.727987959468624,common language effect size
Spectral centroid,Euskara,0.427534752959328,0.00899654882639545,0.409896506524363,0.445172999394294,common language effect size
f0,Danish,0.862664891787698,0.00565615685839368,0.851574690309005,0.87375509326639,common language effect size
-|Δf0|,Danish,0.771036284009495,0.0075711439441571,0.756191243531858,0.785881324487132,common language effect size
Spectral centroid,Danish,0.421733914679683,0.00930368425031273,0.403492772827608,0.439975056531757,common language effect size
f0,Hebrew,0.841270563266084,0.00568915044823688,0.830116807626751,0.852424318905417,common language effect size
-|Δf0|,Hebrew,0.671495166386707,0.00855948259339004,0.654711693030478,0.688278639742937,common language effect size
Spectral centroid,Hebrew,0.357308775140943,0.00879441027728882,0.340066427856318,0.374551122425568,common language effect size
f0,IsiXhosa,0.974953101784571,0.00172521861670327,0.971570566224592,0.978335637344549,common language effect size
-|Δf0|,IsiXhosa,0.598627028327497,0.00726216013018114,0.584390560395725,0.61286349625927,common language effect size
Spectral centroid,IsiXhosa,0.774565291089133,0.00762570124233572,0.759614594986241,0.789515987192026,common language effect size
f0,Turkish,0.966582356751384,0.00333378369838436,0.960043104311502,0.973121609191267,common language effect size
-|Δf0|,Turkish,0.669115352845057,0.00903133075924942,0.651407419911433,0.68682328577868,common language effect size
Spectral centroid,Turkish,0.557869304556355,0.00961196665623764,0.539023038766017,0.576715570346693,common language effect size
f0,Ukrainian,0.843113598283151,0.00627037056004241,0.830820394006745,0.855406802559556,common language effect size
-|Δf0|,Ukrainian,0.700778863980505,0.00848395456085334,0.684143233163866,0.717414494797143,common language effect size
Spectral centroid,Ukrainian,0.413235514190826,0.0101538625123549,0.393324998947779,0.433146029433874,common language effect size
f0,Marathi,0.781194417694624,0.00800326078608289,0.765499913338071,0.796888922051177,common language effect size
-|Δf0|,Marathi,0.759301345643346,0.00729334842283381,0.745002312406101,0.773600378880591,common language effect size
Spectral centroid,Marathi,0.568307816060064,0.0091092620507942,0.550448585667937,0.586167046452191,common language effect size
f0,English,0.977867987882073,0.00162796366755798,0.974676150650791,0.981059825113355,common language effect size
-|Δf0|,English,0.459151254334875,0.00844077108890483,0.442603013270569,0.47569949539918,common language effect size
Spectral centroid,English,0.709431178212397,0.00850500786826222,0.692755347606923,0.726107008817871,common language effect size
f0,French,0.90175089110001,0.00520109320496244,0.891551056714734,0.911950725485285,common language effect size
-|Δf0|,French,0.795705173196813,0.00665635623024481,0.782654725586012,0.808755620807614,common language effect size
Spectral centroid,French,0.46196111580727,0.00975406683550107,0.442834209159328,0.481088022455212,common language effect size
f0,English,0.985840621963071,0.00118591147464974,0.983515523421317,0.988165720504825,common language effect size
-|Δf0|,English,0.741463953126327,0.00761666421412122,0.726529630071385,0.756398276181269,common language effect size
Spectral centroid,English,0.777118485909695,0.00773495810034614,0.761952416150591,0.792284555668798,common language effect size
f0,Azerbaijani,0.982862303928294,0.00133913151416114,0.980236990268834,0.985487617587754,common language effect size
-|Δf0|,Azerbaijani,0.680992499520418,0.00730946525118496,0.666662778873327,0.69532222016751,common language effect size
Spectral centroid,Azerbaijani,0.559906961092616,0.00946995320850625,0.541338603645904,0.578475318539327,common language effect size
f0,Russian,0.993874328841104,0.000866520562593562,0.992174799009549,0.995573858672658,common language effect size
-|Δf0|,Russian,0.823447878042552,0.00674558105987483,0.810220457142639,0.836675298942465,common language effect size
Spectral centroid,Russian,0.661801885942275,0.0102057300715245,0.641787515438326,0.681816256446223,common language effect size
f0,Urdu,0.731831511396858,0.00847482169695208,0.715213370627754,0.748449652165962,common language effect size
-|Δf0|,Urdu,0.601370804593561,0.00953256187826332,0.582679794641191,0.620061814545931,common language effect size
Spectral centroid,Urdu,0.38941025,0.00898939975604181,0.371785898491081,0.407034601508918,common language effect size
f0,Lithuanian,0.924172798891385,0.00374433449690989,0.916831046547964,0.931514551234806,common language effect size
-|Δf0|,Lithuanian,0.753173357859425,0.00666107814181716,0.740114667803031,0.766232047915818,common language effect size
Spectral centroid,Lithuanian,0.610053283379957,0.00964694519499229,0.591136415465005,0.628970151294908,common language effect size
f0,Korean,0.951408218910891,0.00252665857665336,0.946454464883559,0.956361972938222,common language effect size
-|Δf0|,Korean,0.637210031436151,0.00836341495800699,0.620811039482547,0.653609023389755,common language effect size
Spectral centroid,Korean,0.73393063588146,0.00826156251521832,0.717731596429155,0.750129675333765,common language effect size
f0,Farsi,0.987412504717982,0.00162703114612426,0.984222083454702,0.990602925981262,common language effect size
-|Δf0|,Farsi,0.533284047631775,0.00871044713487829,0.516206894428663,0.550361200834888,common language effect size
Spectral centroid,Farsi,0.539409455691944,0.00914986755890239,0.521470401382247,0.557348510001642,common language effect size
f0,Persian,0.99762654698277,0.000370154310380257,0.996900846939186,0.998352247026355,common language effect size
-|Δf0|,Persian,0.69471777558518,0.00823978800266728,0.678562148458454,0.710873402711907,common language effect size
Spectral centroid,Persian,0.715222371678884,0.00881706067370527,0.697933408344826,0.732511335012942,common language effect size
f0,Kannada,0.903387129486996,0.00397975866583112,0.895584968700898,0.911189290273093,common language effect size
-|Δf0|,Kannada,0.684664435040815,0.00750852479621648,0.669943850531263,0.699385019550367,common language effect size
Spectral centroid,Kannada,0.514428692700127,0.0091413114076584,0.496506627493946,0.532350757906307,common language effect size
f0,Japanese,0.859383652031761,0.00550211237673933,0.848596492627104,0.870170811436417,common language effect size
-|Δf0|,Japanese,0.672890592233918,0.00871735017882759,0.655797440491788,0.689983743976049,common language effect size
Spectral centroid,Japanese,0.6828335,0.00870754977673439,0.665761566090003,0.699905433909997,common language effect size
f0,English,0.91143484458127,0.00355813170020078,0.904459500134487,0.918410189028054,common language effect size
-|Δf0|,English,0.541384539026359,0.0075417566604353,0.526599845098278,0.556169232954441,common language effect size
Spectral centroid,English,0.280851765617,0.00795770934631539,0.26525022232839,0.29645330890561,common language effect size
f0,Georgian,0.988365003069542,0.000934911555670681,0.986532087212391,0.990197918926694,common language effect size
-|Δf0|,Georgian,0.683269371382124,0.00695596301422486,0.669633070643608,0.696905672120639,common language effect size
Spectral centroid,Georgian,0.603816014155675,0.00906473278794721,0.586043155304555,0.621588873006794,common language effect size
f0,Puri,0.999961035536107,2.09376283280293e-05,0.99991997002281,1.0000021010494,common language effect size
-|Δf0|,Puri,0.826689161118316,0.00703638491072126,0.812891169700762,0.840487152535871,common language effect size
Spectral centroid,Puri,0.365303496333569,0.00894282126871042,0.347770385140593,0.382836607526545,common language effect size
f0,Norwegian,0.960565749448856,0.00266880191787742,0.955333409806831,0.96579808909088,common language effect size
-|Δf0|,Norwegian,0.761373549640757,0.00710510326500732,0.747443412142704,0.775303687138809,common language effect size
Spectral centroid,Norwegian,0.552568809811567,0.00929808436248023,0.534338014806854,0.57079960481628,common language effect size
f0,Kuikuro,0.930400785700103,0.00388207979631335,0.922789123460256,0.938012447939951,common language effect size
-|Δf0|,Kuikuro,0.698188145134049,0.00896742733203964,0.680603986735491,0.715772303532606,common language effect size
Spectral centroid,Kuikuro,0.611191339601853,0.0102772124970766,0.591037813920768,0.631344865282937,common language effect size
f0,Ainu,0.93950655402843,0.00332878129065783,0.932980424323482,0.946032683733378,common language effect size
-|Δf0|,Ainu,0.697684833615671,0.00810942741650638,0.68178615929933,0.713583507932012,common language effect size
Spectral centroid,Ainu,0.712155363741657,0.00818799436710412,0.696102164635773,0.72820856284754,common language effect size
f0,Slovenian,0.948744753492451,0.00353533943387759,0.941813419491018,0.955676087493884,common language effect size
-|Δf0|,Slovenian,0.598369406335484,0.00925676299746081,0.580219271546382,0.616519541124586,common language effect size
Spectral centroid,Slovenian,0.509926196322129,0.0093076054198923,0.491677189031134,0.528175203613124,common language effect size
f0,Portuguese,0.911149568342088,0.00386609900673876,0.903570131710263,0.918729004973912,common language effect size
-|Δf0|,Portuguese,0.570637537228,0.00805820320230911,0.554839944717782,0.586435129738218,common language effect size
Spectral centroid,Portuguese,0.664962544270277,0.00873565957782718,0.64783471978458,0.682090368755974,common language effect size
f0,Polish,0.344640177188082,0.00994994235696544,0.325125350957908,0.364155003418256,common language effect size
-|Δf0|,Polish,0.717972937482484,0.00882487636497269,0.700666150039837,0.735279724925132,common language effect size
Spectral centroid,Polish,0.308212037962038,0.00838204456055831,0.291778527910178,0.324645548013898,common language effect size
f0,DutchFlemish,0.859247194119274,0.00567992488872448,0.848110782349607,0.870383605888942,common language effect size
-|Δf0|,DutchFlemish,0.631164550853094,0.00840376130250087,0.614688113319786,0.647640988386401,common language effect size
Spectral centroid,DutchFlemish,0.556216644301537,0.0092164976880868,0.538146123460591,0.574287165142483,common language effect size
f0,Japanese,0.9783417622147,0.00185812078057641,0.974698311763856,0.981985212665543,common language effect size
-|Δf0|,Japanese,0.547568678221346,0.0104857160137739,0.527002532021453,0.56813482442124,common language effect size
Spectral centroid,Japanese,0.413366444007485,0.0124013519001613,0.389036818775097,0.437696069239873,common language effect size
